#t / s	&b_A1 / rad	f_1
54.75	-0.02	0
54.8	-0.04	0
54.85	-0.05	0
54.9	-0.07	0
54.95	-0.08	0
55	-0.09	0
55.05	-0.09	0
55.1	-0.09	0
55.15	-0.09	0
55.2	-0.09	0
55.25	-0.09	0
55.3	-0.08	0
55.35	-0.07	0
55.4	-0.04	0
55.45	-0.04	0
55.5	-0.02	0
55.55	0	0
55.6	0.01	0
55.65	0.03	0
55.7	0.04	0
55.75	0.05	0
55.8	0.08	0
55.85	0.08	0
55.9	0.09	0
55.95	0.09	0
56	0.09	0
56.05	0.09	0
56.1	0.09	0
56.16	0.09	0
56.2	0.08	0
56.25	0.07	0
56.3	0.04	0
56.35	0.04	0
56.4	0.02	0
56.45	0	0
56.5	0	0
56.55	-0.02	0
56.6	-0.03	0
56.65	-0.04	0
56.7	-0.05	0
56.75	-0.07	0
56.8	-0.08	0
56.85	-0.08	0
56.9	-0.08	0
56.95	-0.08	0
57	-0.08	0
57.05	-0.07	0
57.1	-0.05	0
57.15	-0.04	0
57.2	-0.04	0
57.25	-0.02	0
57.3	-0.01	0
57.35	0	0
57.4	0.01	0
57.45	0.03	0
57.5	0.04	0
57.55	0.04	0
57.6	0.05	0
57.65	0.07	0
57.7	0.08	0
57.75	0.08	0
57.8	0.08	0
57.85	0.08	0
57.9	0.08	0
57.95	0.07	0
58	0.05	0
58.05	0.04	0
58.1	0.04	0
58.15	0.03	0
58.2	0.01	0
58.25	0	0
58.3	0	0
58.35	-0.02	0
58.4	-0.03	0
58.45	-0.04	0
58.5	-0.04	0
58.55	-0.05	0
58.6	-0.05	0
58.65	-0.05	0
58.7	-0.05	0
58.75	-0.05	0
58.8	-0.05	0
58.85	-0.04	0
58.9	-0.04	0
58.96	-0.04	0
59	-0.03	0
59.05	-0.01	0
59.11	0	0
59.15	0	0
59.2	0.01	0
59.25	0.03	0
59.3	0.04	0
59.35	0.04	0
59.4	0.04	0
59.45	0.05	0
59.51	0.05	0
59.55	0.05	0
59.6	0.05	0
59.65	0.05	0
59.7	0.05	0
59.75	0.04	0
59.8	0.04	0
59.85	0.04	0
59.9	0.03	0
59.95	0.02	0
60.01	0.01	0
60.06	0	0
60.1	0	0
60.15	-0.01	0
60.2	-0.03	0
60.26	-0.03	0
60.31	-0.04	0
60.35	-0.04	0
60.4	-0.04	0
60.45	-0.04	0
60.5	-0.04	0
60.55	-0.04	0
60.6	-0.04	0
60.65	-0.04	0
60.7	-0.03	0
60.75	-0.02	0
60.8	-0.01	0
60.85	-0.01	0
60.91	0	0
60.95	0	0
61	0.01	0
61.05	0.02	0
61.11	0.03	0
61.16	0.04	0
61.2	0.04	0
61.25	0.04	0
61.3	0.04	0
61.35	0.04	0
61.4	0.04	0
61.45	0.04	0
61.5	0.04	0
61.56	0.04	0
61.6	0.03	0
61.66	0.03	0
61.71	0.02	0
61.75	0.01	0
61.8	0	0
61.85	0	0
61.91	0	0
61.95	-0.01	0
62.01	-0.02	0
62.06	-0.03	0
62.1	-0.03	0
62.15	-0.03	0
62.2	-0.03	0
62.25	-0.04	0
62.3	-0.04	0
62.35	-0.03	0
62.4	-0.03	0
62.45	-0.03	0
62.51	-0.02	0
62.56	-0.01	0
62.6	-0.01	0
62.66	0	0
62.71	0	0
62.75	0	0
62.8	0.01	0
62.85	0.02	0
62.9	0.03	0
62.95	0.03	0
63	0.03	0
63.05	0.04	0
63.1	0.04	0
63.16	0.04	0
63.2	0.04	0
63.25	0.04	0
63.3	0.03	0
63.35	0.03	0
63.41	0.02	0
63.45	0.02	0
63.51	0.01	0
63.55	0	0
63.6	0	0
63.65	0	0
63.7	0	0
63.76	-0.01	0
63.8	-0.01	0
63.85	-0.02	0
63.9	-0.02	0
63.96	-0.02	0
64.01	-0.02	0
64.05	-0.02	0
64.1	-0.02	0
64.15	-0.02	0
64.2	-0.02	0
64.25	-0.01	0
64.3	-0.01	0
64.35	0	0
64.4	0	0
64.46	0	0
64.5	0	0
64.55	0	0
